99714,64.509,-146.953,Salcha,Alaska,AK
99716,64.8746,-146.8982,Two Rivers,Alaska,AK
99725,64.871,-148.0949,Ester,Alaska,AK
99775,64.8591,-147.8267,Fairbanks,Alaska,AK
99790,64.8561,-146.276,Fairbanks,Alaska,AK
99827,59.2519,-135.542,Haines,Alaska,AK
99801,58.3628,-134.5294,Juneau,Alaska,AK
99802,58.4057,-134.5897,Juneau,Alaska,AK
99803,58.3771,-134.6174,Juneau,Alaska,AK
99811,58.3835,-134.1978,Juneau,Alaska,AK
99812,58.3271,-134.4742,Juneau,Alaska,AK
99821,58.4494,-134.7003,Auke Bay,Alaska,AK
99824,58.2756,-134.395,Douglas,Alaska,AK
99850,58.3835,-134.1978,Juneau,Alaska,AK
99556,59.8371,-151.7078,Anchor Point,Alaska,AK
99568,60.2016,-151.4226,Clam Gulch,Alaska,AK
99572,60.4767,-149.8235,Cooper Landing,Alaska,AK
99603,59.5374,-151.2356,Homer,Alaska,AK
99605,60.8726,-149.4683,Hope,Alaska,AK
99610,60.3164,-151.2896,Kasilof,Alaska,AK
99611,60.6145,-151.2546,Kenai,Alaska,AK
99631,60.6148,-149.4056,Moose Pass,Alaska,AK
99635,60.7007,-151.2766,Nikiski,Alaska,AK
99639,60.0108,-151.6396,Ninilchik,Alaska,AK
99663,59.4495,-151.7009,Seldovia,Alaska,AK
99664,60.1329,-149.3985,Seward,Alaska,AK
99669,60.4818,-151.1358,Soldotna,Alaska,AK
99672,60.5136,-150.8532,Sterling,Alaska,AK
99682,60.0366,-151.6556,Tyonek,Alaska,AK
99901,55.372,-131.6832,Ketchikan,Alaska,AK
99928,55.3954,-131.6754,Ward Cove,Alaska,AK
99950,55.542,-131.4327,Ketchikan,Alaska,AK
99550,57.7012,-153.5056,Port Lions,Alaska,AK
99608,58.2687,-155.7971,Karluk,Alaska,AK
99615,57.6036,-153.3751,Kodiak,Alaska,AK
99619,58.2687,-155.7971,Kodiak,Alaska,AK
99624,58.2687,-155.7971,Larsen Bay,Alaska,AK
99643,58.2687,-155.7971,Old Harbor,Alaska,AK
99644,58.2687,-155.7971,Ouzinkie,Alaska,AK
99697,58.2687,-155.7971,Kodiak,Alaska,AK
99548,56.2448,-158.7578,Chignik Lake,Alaska,AK
99549,56.9643,-158.5664,Port Heiden,Alaska,AK
99564,56.3016,-158.4157,Chignik,Alaska,AK
99565,58.2687,-156.6484,Chignik Lagoon,Alaska,AK
99579,58.2062,-157.3422,Egegik,Alaska,AK
99606,59.7525,-154.8236,Iliamna,Alaska,AK
99625,59.2905,-156.6503,Levelock,Alaska,AK
99640,58.2687,-156.6484,Nondalton,Alaska,AK
99647,59.8681,-154.0757,Pedro Bay,Alaska,AK
99648,55.9453,-159.2593,Perryville,Alaska,AK
99649,57.5952,-157.4493,Pilot Point,Alaska,AK
99653,58.2687,-156.6484,Port Alsworth,Alaska,AK
99623,61.5463,-149.5901,Wasilla,Alaska,AK
99629,61.5841,-149.4436,Wasilla,Alaska,AK
99645,61.6303,-148.9872,Palmer,Alaska,AK
99652,61.523,-149.7288,Big Lake,Alaska,AK
