breed_name
Afador 
Afaird 
Affen Spaniel 
Affen Terrier 
Affen Tzu 
Affengriffon 
Affenhuahua 
Affenpinscher 
Affenpoo 
Affenwich 
Afghan Collie 
Afghan Hound 
Afghan Retriever 
Afghan Sheepdog 
Afghan Spaniel 
African Pitbull 
Afollie 
African Wild Dog 
Africanis 
Aidi 
Ainu Dog 
Airedale Terrier 
Airedoodle 
Akbash Dog 
Akita (American) 
Akita Inu (Japanese) 
Akita Chow 
Akita Pit 
Akita Shepherd 
Alano Espaol 
Alapaha Blue Blood Bulldog 
Alaskan Husky 
Alaskan Klee Kai 
Alaskan Malador 
Alaskan Malamute 
Alaskan Shepherd 
Alopekis 
Alpine Dachsbracke 
Alusky 
Ambullneo Mastiff 
American Allaunt 
American Alsatian 
American Bandogge Mastiff 
American Black and Tan Coonhound
American Blue Gascon Hound 
American Blue Lacy 
American Boston Bull Terrier 
American Bull Dane 
American Bull Dogue de Bordeaux 
American Bull Mastiff 
American Bull Molosser 
American Bullador 
American Bull-Aussie 
American Bulldog 
American Bullnese 
American Bullnese Hybrid 
American Bullweiler 
American Bully 
American Cocker Spaniel 
American Crested Sand Terrier  
American Eagle Dog 
American Eskimo Dog 
American Foxhound 
American French Bull Terrier 
American French Bulldog 
American Gointer 
American Hairless Terrier 
American Hunt Terrier  
American Indian Dog 
American Leopard Hound  
American Lo-Sze Pugg � 
American Mastiff
American Mastiff (Panja) 
American Neo Bull 
American Pit Bull Terrier 
American Pit Corso 
American Rat Pinscher 
American Staffordshire Terrier 
American Staghound
American Toy Terrier
American Treeing Feist 
American Tundra Shepherd Dog  
American Water Spaniel 
American White Shepherd 
Amitola Bulldog 
Anatolian Pyrenees 
Anatolian Shepherd Dog 
Andalusian Podenco 
Anglos-Fran ai Grand  
Anglos-Fran ais de Moyenne Venerie  
Anglos-Fran aises  
Anglos-Fran aises de Petite Venerie  
Appenzell Mountain Dog 
Argentine Dogo
Ariege Pointing Dog  
Ariegeois 
Armant  
Armenian Gampr 
Arubian Cunucu Dog 
Aryan Molossus 
Atlas Terrier 
Ausky 
Aussalier 
Aussie Bulldog
Aussie Siberian 
Aussie-Corgi 
Aussiedoodle 
Aussiedor 
Aussie-Flat 
Auss-Tzu 
Australian Bandog 
Australian Boxherd 
Australian Bulldog 
Australian Cattle Dog 
Australian Eskimo 
Australian Kelpie 
Australian Koolie
Australian Labradoodle 
Australian Retriever 
Australian Shepherd 
Australian Silky Terrier 
Australian Stumpy Tail Cattle Dog 
Australian Terrier 
Australian Yorkshire Terrier 
Austrian Black and Tan Hound  
Austrian Brandlbracke  
Austrian Shorthaired Pinscher 
Auvergne Pointing Dog  
Azawakh
Bagle Hound 
Bakharwal Dog 
Bangkaew
Banjara Greyhound  
Banter Bulldogge 
Barbet 
Barger Stock Feist 
Bascottie 
Basenji 
Ba-Shar 
Baskimo 
Bassador 
Basschshund 
Basselier 
Basset Artesien Normand 
Basset Bleu de Gascogne 
Basset Fauve de Bretagne  
Basset Foxhound 
Basset Hound 
Basset Retriever 
Bassetoodle 
Basston 
Bassugg 
Bavarian Mountain Hound 
Bea Griffon 
Beabull 
Beagi 
Beagle 
Beagle Chin 
Beagle Harrier 
Beagleman 
Beaglier 
Beago 
Be-Apso 
Bearded Collie 
Bea-Tzu 
Beauceron 
Bedlington Terrier 
Bedouin Shepherd Dog  
Belgian Griffon 
